participants,event_rating,speaker_rating,advertisement,class_attendence,class_and_prof,event_timing,audience_learning,comments,mailing_list
1,Excellent,Excellent,Professor,Yes,CHS 246: Professor Marta Lopez ,Extremely convenient,Very much,Promote events by sending the flyers to organizations. ,No
2,Excellent,Excellent,Email,No,No,Somewhat convenient,Very much,,Yes
3,Excellent,Excellent,Word of mouth;Flyers;CD&SC website,No,,Extremely convenient,Very much,,Yes
4,Excellent,Excellent,Email;Professor,Yes,AAS 345 Professor Clement Lai,Somewhat convenient,Somewhat,,No
5,Excellent,Excellent,Email;Professor,Yes,"AAS 151 Fundamentals of Public Speaking, Margeaux Gamboa-Wong ",Extremely convenient,Very much,,Yes
6,Excellent,Excellent,Professor,No,,Extremely convenient,Very much,"This was a great event! Thank you!! 

I think it would be important for future events to include captions within the zoom event/program to improve accessibility for DHH students.",Yes
7,Excellent,Excellent,Word of mouth,No,,Extremely convenient,Very much,,Yes
8,Excellent,Excellent,Professor,Yes,FCS 494/I Dr. Nelida Duran,Extremely convenient,Very much,,Yes
9,Excellent,Excellent,Email,No,CA,Extremely convenient,Very much,,Yes
10,Excellent,Excellent,Email,No,,Extremely convenient,Very much,I LOVE IT AND WE NEED MORE OF IT ! THANK YOU,Yes
11,Excellent,Excellent,Flyers;Email,Yes,ESEPP ,Extremely convenient,Very much,,No
12,Excellent,Excellent,Word of mouth;Professor,Yes,AAS100,Somewhat convenient,Very much,,Yes
13,Excellent,Excellent,Professor,Yes,Aas 210 with Dr. Lai,Somewhat convenient,Very much,"I really appreciated the various topics that were covered, and the emphasis at the end on actions steps we can take to make change on a macro level without our own institution.",Yes
14,Excellent,Excellent,Email,No,,Extremely convenient,Very much,Try add live subtitles if possible,Yes
15,Excellent,Excellent,Email,No,,Extremely convenient,Very much,Providing captioning options like transcripts ,No
16,Excellent,Excellent,Professor,Yes,AAS100H Professor Edith Chen,Extremely convenient,Very much,,No
17,Excellent,Excellent,Email,No,,Somewhat convenient,Very much,"Loved having the community speaker, campus speakers and student speakers- well rounded experience from various perspectives. Explaining the historical context was also helpful.",No
18,Excellent,Excellent,Email,No,CA,Extremely convenient,Very much,WE NEED MORE OF THIS THANK YOU,Yes
19,Excellent,Fairly Good,Professor,Yes,"FCS 494, Dr. Duran",Somewhat convenient,Very much,,No
20,Excellent,Excellent,Email,No,N/A,Somewhat convenient,Very much,"I attended on behalf of President Beck, it was an incredible teach-in inclusive of our brilliant student voices! I would appreciate the recording to share those student voices with her and to make sure that I captured all of the perspectives in my notes. ",Yes
21,Excellent,Excellent,Professor,Yes,"AAS 100 HON, Edith Chen",Extremely convenient,Very much,I think that the presentation was very informative and clear so at the moment I don’t think there are any adjustments to be made.,Yes
22,Excellent,Fairly Good,Email;Professor,Yes,Asian American Studies 100 Edith Chen ,Somewhat convenient,Very much,Can you please share the recording of the event ,No
23,Excellent,Fairly Good,Word of mouth;Flyers;Email,No,CA,Extremely convenient,Very much,,Yes
24,Excellent,Fairly Good,Word of mouth,No,,Extremely convenient,Somewhat,"I love that speakers shared their true experience. However, I would have liked the teach-in tied more historical data and statistics. ",No
25,Excellent,Excellent,Professor,Yes,GWS 400 Prof Shaikh,Somewhat convenient,Very much,,No
26,Excellent,Excellent,Flyers;Professor,Yes,GWS 495 Professor M. Lopez - Garza,Somewhat convenient,Very much,Maybe a bit more about Speakers names / titles / Info,No
27,Fairly Good,Excellent,Professor,Yes,"AAS 100, Professor Edith Chen",Extremely convenient,Very much,,No
