participants,event_rating,speaker_rating,advertisement,class_attendence,class_and_prof,event_timing,audience_learning,comments,mailing_list
1,Excellent,Excellent,CD&SC Website,No,,Somewhat convenient,Very much,Keep it up with the wonderful programming!,Yes
2,Excellent,Excellent,Professor,No,,Somewhat convenient,Very much,,Yes
3,Excellent,Excellent,Word of mouth;Flyers;Email;Professor,Yes,GWS 301 Professor Shaikh ,Extremely convenient,Very much,,Yes
4,Excellent,Excellent,Professor,Yes,"Coms 356, jaime guzman",Somewhat convenient,Very much,,No
5,Excellent,Excellent,Word of mouth;Flyers;Email,No,,Extremely convenient,Very much,It was a fabulous film and talk. Thanks for organizing the event.,Yes
6,Excellent,Excellent,Professor,Yes,GWS 301- Feminist Theory with Professor Shaikh,Extremely convenient,Very much,,No
7,Excellent,Excellent,Professor,Yes,Khanum Shaikh,Extremely convenient,Very much,,No
8,Excellent,Excellent,Professor,Yes,"Gender Woman Studies, Professor Liliana Gonzalez",Somewhat convenient,Very much,,No
9,Excellent,Excellent,Email,No,,Extremely convenient,Very much,,Yes
10,Excellent,Excellent,Flyers;CD&SC Website;Email,No,,Extremely convenient,Very much,,Yes
11,Excellent,Excellent,Professor,Yes,"GWS 301Feminist Theories, Professor Shaikh",Extremely convenient,Very much,,No
12,Excellent,Excellent,Professor,Yes,Communications 356 with Professor Jamie Guzman.,Extremely convenient,Very much,"nothing from me today was very educational and i had no issues with audio or visual presentations today, thank you very much.",Yes
13,Excellent,Excellent,Professor,No,,Somewhat convenient,Not much,Around dinner making time was a bit hard. ,No
14,Excellent,Excellent,Professor,Yes,GWS 301 with professor Khanum Shaikh,Extremely convenient,Very much,It was super informative and the speakers were amazing! ,Yes
15,Excellent,Excellent,Professor,Yes,GWS 100 Professor Liliana C. Gonzalez ,Extremely convenient,Very much,Very informative! Thank you.,Yes
16,Excellent,Excellent,Professor,No,,Extremely convenient,Very much,,No
17,Excellent,Excellent,Flyers;Email,No,,Extremely convenient,Very much,,Yes
