participants,event_rating,speaker_rating,advertisement,class_attendence,class_and_prof,event_timing,audience_learning,voting_in_election,comments,mailing_list
1,Excellent,Excellent,Word of mouth;Flyers;CD&SC website;Email;Professor;Instagram,Yes,,Extremely convenient,Very much,Very much,,
2,Excellent,Excellent,Professor,Yes,Ch S 100; Professor Marta López-Garza,Extremely convenient,Somewhat,Very much,,Yes
3,Excellent,Excellent,Professor,Yes,"CH S 100, Professor Lopez-Garza",Extremely convenient,Somewhat,Very much,,No
4,Excellent,Excellent,Word of mouth;CD&SC website,Yes,CH S 100 chicano culture and Professor Lopez-Garza,Somewhat convenient,Very much,Very much,,Yes
5,Excellent,Excellent,Professor,Yes,Chicano studies 417 Dr. Theresa Montaño ,Extremely convenient,Very much,Very much,,Yes
6,Fairly Good,Excellent,Professor,Yes,"CHS 245, Profossor Fernandez ",Somewhat convenient,Very much,Somewhat,US,No
7,Excellent,Excellent,Professor,Yes,Chicano studies 417 Dr. Theresa Montaño,Extremely convenient,Very much,Very much,,Yes
8,Excellent,Excellent,Professor,Yes,"CHS 245- Hist of Americas, Prof. Maria Fernandez ",Extremely convenient,Somewhat,Somewhat,,No
9,Fairly Good,Excellent,Professor,Yes,Ch S 445    Maria Hernandez ,Somewhat convenient,Somewhat,Somewhat,No ,No
10,Excellent,Excellent,Professor,Yes,CH S 100 Chicano Culture with Professor Martha Lopez-Garza,Extremely convenient,Very much,Very much,I really enjoyed learning more about voting and much voting oppression is real in our world today,No
11,Excellent,Excellent,Professor,Yes,CHS 245- Maria Elena Fernandez,Extremely convenient,Very much,Very much,,Yes
12,Excellent,Excellent,Professor,Yes,"AAS 347, Professor Clement, Lai",Extremely convenient,Very much,Very much,,No
13,Excellent,Excellent,Professor,Yes,CH S 445 - Maria Elena Fernandez,Somewhat convenient,Very much,Very much,,No
14,Excellent,Excellent,Email,No,,Somewhat convenient,Very much,Very much,,Yes
15,Excellent,Excellent,Professor,Yes,"CHS 245 HISTORY OF THE AMERICAS, María Elena Fernández",Extremely convenient,Very much,Very much,,No
16,Fairly Good,Excellent,Professor,Yes,CH S 445 Professor Maria Elena Fernandez,Extremely convenient,Very much,Very much,Great Event,No
17,Excellent,Excellent,Professor,Yes,Ch S 100 Chicano Culture - Dr. Marta Lopez-Garza,Extremely convenient,Very much,Very much,I thought it flowed very smoothly,No
18,Excellent,Excellent,Professor,Yes,Marta Lopez Garza,Extremely convenient,Very much,Somewhat,"No,  I feel that the speakers motivated everyone to vote. They were. able to. make. their point come across.",Yes
19,Excellent,Excellent,Professor,Yes,"AAS 210, Professor Clement LAi",Somewhat convenient,Somewhat,Somewhat,,No
20,Excellent,Excellent,Professor,Yes,CHS 417 (Professor Theresa Montano),Somewhat convenient,Very much,Very much,,Yes
