participants,panel_attendence,feedback_for_panel_1,feedback_for_panel_2,feedback_for_panel_3,feedback_for_first_keynote,feedback_for_second_keynote,event_rating,speaker_rating,advertisement,class_attendence,class_and_prof,event_timing,audience_learning,comments,mailing_list
1,Keynote Speaker: Dr. Ruthie Gilmore,Could not attend.,Could not attend.,Could not attend.,Fantastic!,Does not apply.,Excellent,Excellent,CD&SC website;Email;Professor,No,,Somewhat convenient,Very much,,Yes
2,Keynote Speaker: Julian Aguon,does not apply,does not apply,does not apply,does not apply,I thoroughly enjoyed the lecture and its contents,Excellent,Excellent,Professor,Yes,"CJS 326 Victimology, Professor Labertew",Somewhat convenient,Very much,,No
3,Panel 1: Writing Against Erasure;Panel 2: Identity & Place Making;Panel 3: Housing Security/Insecurity & Project Rebound;Keynote Speaker: Dr. Ruthie Gilmore;Keynote Speaker: Julian Aguon,I enjoyed it ,Very moving and inspiring ,Very enjoyable,Absolutely wonderful,A very emotional topic. Julian is an excellent speaker. ,Excellent,Excellent,Flyers;Email;Professor,Yes,FCS 494 ,Somewhat convenient,Very much,,No
4,Keynote Speaker: Julian Aguon,Does not apply,Does not apply ,Does not apply ,Does not apply ,I like the story the speaker gave. The emotion he put into sharing with us his stories. I also like to hear his point of view on activism.,Fairly Good,Fairly Good,Professor,Yes,CJS 326 Victimology Professor Labertew,Extremely convenient,Very much,,No
5,Keynote Speaker: Julian Aguon,Does not apply,Does not apply,Does not apply,Does not apply ,I thought that the speaker was very passionate about activism. He provided recommendations on how to provide a change. ,Excellent,Excellent,Flyers;Professor,Yes,Cjs 326 victimology professor Denice Labertew,Extremely convenient,Very much,,Yes
6,Keynote Speaker: Julian Aguon,does not apply ,does not apply,does not apply,does not apply ,"I thought it was very powerful when he said that the ""United States wants power over strength and living over letting live"" ",Excellent,Excellent,Professor,Yes,Victimology (CJS 326) Professor Leslie Labertew  ,Extremely convenient,Very much,,No
7,Keynote Speaker: Julian Aguon,Did not attend,Did not attend ,Did not attend ,Did not attend ,It was an amazing event ,Excellent,Excellent,Professor,Yes,CJS 326 Victimology (Professor Labertew),Somewhat convenient,Very much,,Yes
8,Panel 3: Housing Security/Insecurity & Project Rebound;Keynote Speaker: Julian Aguon,does not apply,does not apply,Does not apply,Does not apply,No,Fairly Good,Fairly Good,Professor,Yes,CJS 326 Victimology Professor Labertew,Extremely convenient,Somewhat,No,No
9,Keynote Speaker: Dr. Ruthie Gilmore;Keynote Speaker: Julian Aguon,N/A,N/A,N/A,N/A,N/A,Fairly Good,Fairly Good,Professor,Yes,Cjs 326 victimology Leslie Labertew,Somewhat convenient,Somewhat,N/A,No
10,Keynote Speaker: Julian Aguon,does not apply,does not apply ,does not apply ,does not apply,He did a great job sharing from his experience and from his heart. The book that he wrote was very real and and very close to him but also to see him stand up and want to see a change as well as start a firm of his own to be apart of that change. ,Fairly Good,Excellent,Professor,Yes,Prof. Labertew ,Extremely convenient,Very much,,No
11,Keynote Speaker: Julian Aguon,Did not attend ,Did not attend ,Did not attend ,Did not attend ,"It was an amazing speech, very sentimental and informational! ",Excellent,Excellent,Professor,Yes,"Victimology, Professor Labertew ",Extremely convenient,Very much,,No
12,Keynote Speaker: Julian Aguon,No,No,No,No,Great ,Excellent,Excellent,Professor,Yes,Labertew CJS 326,Extremely convenient,Very much,,No
13,Keynote Speaker: Julian Aguon,Does not apply,Does not apply ,Does not apply,Does not apply,His story was amazing and heartwarming ,Excellent,Excellent,Professor,Yes,"CJS 326 Victimology, Leslie Labertew ",Extremely convenient,Very much,Overall it was good ,No
14,Keynote Speaker: Julian Aguon,does not apply,does not apply,does not apply,does not apply,It was very interesting & engaging. It was sad to hear that the US military did that to Guam.,Excellent,Excellent,Email;Professor,Yes,"Victimology, Labertew",Extremely convenient,Very much,,No
15,Keynote Speaker: Dr. Ruthie Gilmore;Keynote Speaker: Julian Aguon,Does not apply,Does not apply,Does not apply,No,No,Fairly Good,Excellent,Flyers;Professor,Yes,"CJS 326 Victimology , Professor Labertew",Somewhat convenient,Somewhat,No,No
16,Keynote Speaker: Julian Aguon,Does not apply,Does not apply,Does not apply,Does not apply,"It was brave, and I'm sure it's something they hear a lot but it's TRUE. The words were powerful and resonated",Fairly Good,Excellent,Professor,Yes,Victimology CJS 326 prof. Denise Labertew,Somewhat convenient,Very much,,No
17,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply ,Julian shared a story about his dad passing away which was so sad but so beautiful and I’m glad he opened up about that too so many people. ,Excellent,Excellent,Professor,Yes,CJS 326 Labertew ,Extremely convenient,Very much,,No
18,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply ,I was completely moved on the stories Julian shared with us. He used poetry which made it so beautiful.,Excellent,Excellent,Professor,Yes,CJS 326 Professor Denice Labertew ,Somewhat convenient,Very much,,No
19,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply ,Very excellent story. Throughout listening to this moving story I connected it a lot to when my father passed away. ,Excellent,Excellent,Professor,Yes,CJS326 Victimology professor labertew,Extremely convenient,Very much,Excited for future events. ,Yes
20,Keynote Speaker: Julian Aguon,Does not apply,Does not apply ,Does not apply ,Does not apply ,It was great ! Very heartfelt !! Inspiring,Excellent,Excellent,Professor,Yes,"CJS VICTOMOLOGY , Professor Labertew",Somewhat convenient,Very much,,No
21,Panel 3: Housing Security/Insecurity & Project Rebound;Keynote Speaker: Julian Aguon,1,1,I enjoyed the panel and hope to attend more in the future ,1,Very inspiring and touching ,Excellent,Excellent,Professor,Yes,Victimology,Somewhat convenient,Very much,,No
22,Keynote Speaker: Julian Aguon,does not apply ,does not apply ,does not apply ,does not apply ,I think that it was great to hear his stories and hear about all that he had accomplished. It must have been very hard sharing all that but it impacted others as well which was great to see.  ,Excellent,Excellent,Professor,Yes,CJS 326 Victimology Professor Labertew ,Somewhat convenient,Somewhat,It was great and very informational. ,No
23,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply ,"I felt what Julian had to say about grief, during hard times when we grief it’s hard to get yourself back up again. He said grief can help build bridges. A broken heart can help you grow into a stronger person. Without pain there is no growth. ",Excellent,Excellent,Professor,Yes,Cjs 326 Professor Labertew ,Extremely convenient,Very much,N/A ,No
24,Keynote Speaker: Julian Aguon,does not apply,does not apply,does not apply,does not apply,I thought he did really good and everything he spoke was just great i really appreciate joining the zoom call.,Excellent,Excellent,Professor,Yes,CJS 326 Victimology & Professor Labertew,Extremely convenient,Very much,,No
25,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply ,It was very heartbreaking to hear the story about his father really caught my heart. ,Excellent,Excellent,Professor,Yes,CJS 326 Prof Labertew,Extremely convenient,Very much,Great overall ,Yes
26,Keynote Speaker: Julian Aguon,does not apply,does not apply,Does not apply,Does not apply,It was absolutely outstanding!!!,Excellent,Excellent,Flyers;Email;Professor,Yes,CJS 326(4270-SP2022),Extremely convenient,Very much,It was great !!!!,No
27,Keynote Speaker: Julian Aguon,Does not apply,Does not apply,Does not apply,Does not apply,I think he was so amazing because he put so much emotion into his speech. He was very refreshing. ,Excellent,Excellent,Professor,Yes,CJS 326 Victimology Professor Denice Labertew,Extremely convenient,Very much,No,No
28,Keynote Speaker: Julian Aguon,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,I found these incredible insightful to what is happening in the background that many of us do not know about,Excellent,Excellent,Flyers,Yes,Lebertew,Somewhat convenient,Very much,,No
29,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not Apply,Immobilize by grief meaning sometimes we can resist feeling the pain. Julian gave a powerful example when sharing her feelings when his father passed away. ,Fairly Good,Excellent,Professor,Yes,CJS 326: Prof. Denice Labertew ,Somewhat convenient,Somewhat,,No
30,Keynote Speaker: Julian Aguon,Does not apply,Does not apply ,Does not apply ,Does not apply ,I actually loved Julian Aguon’s lecture it was about grief and it was great to listen to considering that I too lost my dad a little over a year ago and it’s crazy to listen because every one grieves differently no matter who they lost.,Excellent,Excellent,Professor,Yes,CJS 326,Extremely convenient,Very much,No it was overall a great event,No
31,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply,Does not apply ,Does not apply,I thought his message was very powerful ,Excellent,Excellent,Professor,Yes,Victimology Professor Labertew,Somewhat convenient,Very much,,No
32,Keynote Speaker: Julian Aguon,does not apply,does not apply ,does not apply,does not apply,"I though Julian Aguon has such a strong message for people, i felt for him, i feel with him it was phenomenal to hear him speak i truly enjoyed it ",Excellent,Excellent,Professor,Yes,Victimology CJS 326,Extremely convenient,Very much,N/A,No
33,Keynote Speaker: Julian Aguon,Does not apply,Does not apply,Does not apply,Does not apply,The speaker speaks with strong emotion and enjoyed how they went deep into thoughts,Fairly Good,Excellent,Professor,Yes,CJS 326 Victimology,Extremely convenient,Very much,,No
34,Keynote Speaker: Julian Aguon,does not apply ,does not apply ,does not apply ,does not apply ,liked his essay ,Fairly Good,Fairly Good,Professor,Yes,"CJS 326 Victimology, Professor Denice Lewbert",Extremely convenient,Somewhat,N/A,No
35,Keynote Speaker: Julian Aguon,N/A,N/A,N/A,N/A,I thought Julian Aguon's speech and passage reading to be insightful and moving. Julian demonstrated the importance behind environmental justice and how there are parallels across nations that experience the same style of suffrage.,Excellent,Excellent,Professor,Yes,CJS 326 victimology Professor Denise Labertew,Extremely convenient,Very much,,Yes
36,Keynote Speaker: Julian Aguon,does not apply ,does not apply ,does not apply ,does not apply ,maybe it would be nice to have images to keep attention ,Excellent,Excellent,Flyers,Yes,leslie labertew,Extremely convenient,Very much,,No
37,Keynote Speaker: Julian Aguon,Does not apply,Does not apply ,Does not apply ,Does not apply ,My thoughts are the fact that it was very insightful. The fact that one can connect to the story Julian shared is quite a thing to see. It's not everyday one experiences loss in such a way. I know it is not easy to share stories like that but the fact that she had the courage makes me admire her.,Excellent,Excellent,Email;Professor,Yes,CJS 326 Victimology with Professor Labertew ,Somewhat convenient,Very much,,Yes
38,Keynote Speaker: Julian Aguon,does not apply ,does not apply ,does not apply ,does not apply ,"Mr. Aguon was incredibly moving through powerful words that came from the keynote. His ideas are very relevant and highly informative. I encourage that the social justice campaign and ideas about environmental justice are brought up in more regularity, across all platforms. It's surprising what is taking place in the pacific islands near and around Guam. Militarization must be given more transparency from what I learned. Very great ideas and intellect. I appreciate the time and this conference.  ",Excellent,Excellent,Flyers;Email;Professor,Yes,"CJS 326-4270 Victimology, Professor Labertew ",Somewhat convenient,Very much,,Yes
39,Keynote Speaker: Julian Aguon,Does not apply,Does not apply ,Does not apply ,Does not apply ,Julian Aguon brought an important issue to this lecture and I was unaware of this issue in Guam. ,Excellent,Excellent,Email;Professor;Instagram,Yes,CJS 326 VICTIMOLOGY PROFESSOR LABERTEW,Somewhat convenient,Very much,,No
40,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply ,This speaker was very eye-opening and spoke from the heart. The speaker also had a lot of knowledge which made me so intrigued about everything that they stated. I enjoyed the fact that they use personal experience to show the importance of humanity. ,Excellent,Excellent,Flyers;Professor,Yes,"CJS 326 Victimology, Professor Labertew",Somewhat convenient,Very much,The event wasn’t very well presented,No
41,Keynote Speaker: Julian Aguon,does not apply,does not apply,does not apply,does not apply,I loved the reading and how informational it was. Some of the issues that were stated I was not aware of and I am interested in furthering my knowledge. ,Excellent,Excellent,Professor,Yes,CJS 326 Victimology / Professor Labertew,Somewhat convenient,Very much,,No
42,Keynote Speaker: Julian Aguon,does not apply,does not apply,does not apply,does not apply,he was very sentimental with his speech and very in touch with his feelings.,Fairly Good,Fairly Good,Professor,Yes,CJS 326 Labertew ,Extremely convenient,Somewhat,,No
43,Keynote Speaker: Julian Aguon,Does not apply ,Does not apply ,Does not apply ,Does not apply ,"It was absolutely amazing. The work was beautifully written, the talk was emotional and moving. It was beyond informative. Julian Aguon is a beautifully spoken individual and I would love to attend  more events like this I've learned so much I did not even want to leave the meeting. Please have more event like this! ",Excellent,Excellent,Flyers;Professor,Yes,GWS 301 Feminist theories with professor Shaikh. ,Extremely convenient,Very much,No it was amazing!!! ,Yes
44,Keynote Speaker: Julian Aguon,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,I love his speech and his talk ,Excellent,Excellent,Professor,Yes,GEW 301 KHANUM SHAIKH,Extremely convenient,Very much,,Yes
45,Panel 1: Writing Against Erasure;Panel 2: Identity & Place Making;Panel 3: Housing Security/Insecurity & Project Rebound;Keynote Speaker: Julian Aguon,"This was nicely structured, and I enjoyed listening to this first panel. ","This was a beautiful panel, and I thought that it was very eye opening.","This was a very nice way to end the event, and overall brought it all together.",I did not watch.,"He was so inspirational. I loved his speech, and I was also teary eyed.",Excellent,Excellent,Professor,Yes,Professor Khanum Shaikh,Extremely convenient,Very much,Everything was beautifully done.,No
46,Keynote Speaker: Julian Aguon,does not apply ,does not apply,does not apply ,does not apply ,The speaker was really passionate about the grief he dealt with and how heartbreak can lead to new openings in life. ,Fairly Good,Fairly Good,Professor,Yes,"CJS 326, Professor Labertew ",Somewhat convenient,Very much,,No
47,Keynote Speaker: Julian Aguon,Does not apply,Does not apply,Does not apply,Does not apply,The entire lecture was very well spoken. All participants brought an emotional appeal to their words which made me focus much more. ,Fairly Good,Excellent,Professor,Yes,Professor Labertew CJS 326 VICT and Professor Florence Kyomugisha GWS 300,Extremely convenient,Somewhat,,Yes
