participants,panel_attendence,feedback_panel_1,feedback_panel_2,feedback_panel_3,feedback_for_first_keynote,feedback_for_second_keynote,event_rating,speaker_rating,advertisement,class_attendence,class_and_prof,event_timing,audience_learning,comments,mailing_list
1,Panel 1,"They presentations were great, and I learned so much.",does not apply,does not apply,does not apply,does not apply,Excellent,Excellent,Professor,Yes,"GWS 100, Professor Khanum Shaikh",Extremely convenient,Very much,N/A,No
2,Panel 1,"I thought the speakers did a great job, very informative. ",dna,dna,dna,dna,Fairly Good,Fairly Good,Professor,Yes,"GWS 100, Shaikh",Extremely convenient,Very much,,No
3,Keynote Speaker: Thi Bui,N/A,N/A,N/A,N/A,Fantastic talk!  I very much enjoyed hearing from Thi and think she was a great fit for the theme of the conference and CDSC,Excellent,Excellent,Word of mouth;Flyers;Email,No,,Somewhat convenient,Very much,,No
4,Keynote Speaker: Thi Bui,does not apply,does not apply,does not apply,does not apply,her talk was very inspiring and i would love to hear her speak again,Excellent,Excellent,Word of mouth;Email;Professor,Yes,,Extremely convenient,Very much,,No
5,Panel 3;Keynote Speaker: Ciara Lacy;Keynote Speaker: Thi Bui,does not apply,does not apply,A seems very aware of the issue they are trying to spread awareness for and fight against. V and S presentation was such an impactful addition to this panel.,"What a sweet human being. I got a little lost listening to her, but the videos she showed were very insightful.",This human has such a huge heart. It was an absolute HONOR to hear from her. Crying,Excellent,Excellent,Professor,No,,Extremely convenient,Very much,,Yes
6,Panel 1;Panel 3;Keynote Speaker: Ciara Lacy;Keynote Speaker: Thi Bui,"Loved the student papers. They were thoughtful, well prepared and I learnt a lot. ",N/A,N/a,Really enjoyed watching Ciara’s films and hearing her talk about returning to and working within community ,This speaker was AMAZING!! Her work was so Inspiring!!! Loved hearing her talk about her process. But mostly loved her unwavering commitment to the work she was doing. ,Excellent,Excellent,Word of mouth;Flyers;CD&SC website;Email,No,,Somewhat convenient,Very much,Thank you for putting on such a fabulous conference!! It was very well organized and had a great mix of papers and speakers. ,Yes
7,Keynote Speaker: Thi Bui,Does not apply,It was a good panel.,Does not apply,Does not apply,"I thought it was good to listen about her career, activisms, drawings, trips for interviews, and comics.",Excellent,Excellent,Professor,Yes,English 333,Extremely convenient,Very much,,Yes
8,Panel 2;Panel 3;Keynote Speaker: Ciara Lacy,does not apply,It was interesting to learn more about transformative justice and how we can creatively combine different fields of occupation to work towards TJ (computer science to create an app).,This panel taught me that it's not enough to just have representation of minority communities in media if their stories perpetuate stereotypes instead of representing an authentic story. What stood out to me the most was Victoria and Sunny's presentation on representation of the deaf community in Hollywood movies. ,"Ciara Lacy's panel was very eye-opening in seeing how different systems of power and privilege intersect and create the struggle faced by indigenous and native Hawaiians, but most importantly how that same positions inform and drives their resistance to colonial power. Definitely, taking some time to watch her film ""Out of State""!",does not apply,Excellent,Excellent,Professor,Yes,GWS 400 Khanum Shaikh; GWS 495CII Marta Lopez-Garza,Extremely convenient,Very much,"I noticed that this event was being recorded, if there is any way I can get a link to rewatch the entire event that would be great! My email is Leslie.lopez.205@my.csun.edu",Yes
9,Keynote Speaker: Thi Bui,does not apply,does not apply,does not apply,does not apply,Thi Bui was a phenomenal speaker and really solidified some racial issues I have been advocating for with new perspectives. I would love to see another speaker presentation by her again.,Excellent,Excellent,Professor,Yes,"English 333, Professor Hatfield",Extremely convenient,Very much,,No
10,Panel 1,I think that it was real interesting to hear from different people and their ages. I also have never seen a presentation by people impaired of hearing. They were able to give a great presentation without having to use words. ,"""does not apply"" ","""does not apply""","""does not apply"" ","""does not apply""",Excellent,Excellent,Word of mouth;CD&SC website;Email;Professor,Yes,Gender Women's Studies Khanum Shaikh ,Extremely convenient,Very much,Although everything was run smoothly everyone was on time it would be nice to check on sounds before starting. This is because some for the speakers they would go in and out on my laptop and I could not exactly what they were saying. ,No
