participants,event_rating,speaker_rating,advertisement,class_attendence,class_and_prof,event_timing,audience_learning,comments,mailing_list
1,Excellent,Excellent,Professor,Yes,Professor Clement Lai AAS 345,Extremely convenient,Very much,,No
2,Excellent,Excellent,Professor,Yes,"AAS 210, Professor Clement Lai",Extremely convenient,Very much,,Yes
3,Excellent,Excellent,Professor,Yes,"CH S 100, Marta Lopez-Garza",Somewhat convenient,Very much,,No
4,Excellent,Excellent,Email;Professor,Yes,Asian American Studies 345 Professor Lai,Somewhat convenient,Very much,,Yes
5,Excellent,Excellent,Email;Professor,No,Kentucky,Extremely convenient,Very much,,Yes
6,Excellent,Excellent,Professor,Yes,J480 Jose Benevidez,Somewhat convenient,Very much,,Yes
7,Excellent,Excellent,Professor,Yes,J480 Jose Benevidez,Somewhat convenient,Very much,,Yes
8,Excellent,Excellent,Professor,Yes,Chicano studies and Chicano culture 100 with Dr Martha Lopez Garza,Extremely convenient,Very much,,No
9,Excellent,Fairly Good,Flyers;Email,No,CA,Extremely convenient,Somewhat,"Some speakers were excellent and some fairly good, so it is hard to evaluate all speakers with one answer.  ",Yes
10,Excellent,Excellent,Professor,Yes,CJS 446 Professor Juarez,Extremely convenient,Very much,,No
11,Excellent,Excellent,Email;Professor,Yes,"CJS 432 Alcohol, drugs, and crime (Professor Juarez)",Extremely convenient,Very much,,Yes
12,Excellent,Excellent,Email;Professor,Yes,"AAS345, Professor Clement Lai",Extremely convenient,Very much,,No
13,Fairly Good,Excellent,Professor,Yes,"CJS 432 ALC, DRGS AND CR - Professor Jose Juarez",Somewhat convenient,Somewhat,,No
14,Excellent,Excellent,Professor,Yes,CJS 446 Professor Juarez,Extremely convenient,Very much,,No
15,Excellent,Excellent,Professor,Yes,Ch S 100 Marta Lopez-Garza,Extremely convenient,Very much,,No
16,Excellent,Excellent,Professor,Yes,"AAS 345 , professor Clement Lai ",Extremely convenient,Very much,,Yes
17,Excellent,Excellent,Word of mouth,Yes,"AAS 345 , Clement Lai ",Extremely convenient,Very much,,No
18,Excellent,Excellent,Word of mouth,Yes,"AAS 345 , Clement Lai ",Extremely convenient,Very much,,No
19,Excellent,Excellent,Word of mouth,Yes,"AAS 345 , Clement Lai ",Extremely convenient,Very much,,No
20,Excellent,Excellent,Professor,Yes,Ch S 100 Chicano Culture - Dr. Marta Lopez-Garza,Extremely convenient,Very much,,No
